DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38766;BARRA CEREAL PINATI DB BANANA;A;30
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38767;BARRA CEREAL PINATI DW AVELA LEITE 50G;A;30
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38769;BARRA CEREAL PINATI DW COOKIES 50G;A;30
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38768;BARRA CEREAL PINATI FRAPE COCO 50G;A;30
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38771;BARRA CEREAL PINATI L4P3 NUTS 100G ZERO ORIGINAL;A;30
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38770;BARRA CEREAL PINATI SW CHOCO BELGA 35G;A;30
A CLASSIFICAR;FAMILIAS;;;;;NICOLAS;33971;ENERG MONSTER LT 473ML RIO PONCH RIO PUNCH;I;24
A CLASSIFICAR;FAMILIAS;;;;;WERTER;38772;TEMPE ADOBO ALHO TOP FEST 40G;A;35
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;51;AGUA MIN CRYSTAL PET 5L S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;50;AGUA MIN DA PEDRA PET 5L S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;52;AGUA MIN FLORESTA PET 5L S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 5 LITROS;;NICOLAS;53;AGUA MIN SARANDI 5L S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;3943;AGUA MIN BONAFONT 500ML C GAS;I;21
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;36;AGUA MIN CRYSTAL PET 500ML C GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;43;AGUA MIN CRYSTAL PET 500ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;34;AGUA MIN DA PEDRA PET 500ML C GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;35;AGUA MIN DA PEDRA PET 500ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;37956;AGUA MIN FONTE DA MATA 500ML C GAS;I;18
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;3944;AGUA MIN VALLE VITA 500ML C GAS;I;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 500 ML;;NICOLAS;3945;AGUA MIN VALLE VITA 500ML S GAS;I;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA DE COCO;;NICOLAS;3938;AGUA COCO DUCOCO TP 1L;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA DE COCO;;NICOLAS;952;AGUA COCO DUCOCO TP 200ML;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA DE COCO;;NICOLAS;954;AGUA COCO KERO COCO TP 1L;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA DE COCO;;NICOLAS;956;AGUA COCO KERO COCO TP 200ML;A;24
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;54;AGUA MIN DA PEDRA LT 350ML ABACAXI E HORTE;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;12273;AGUA MIN DA PEDRA LT 350ML BER CAPIM LIM;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;12274;AGUA MIN DA PEDRA LT 350ML BLUEBER LIM;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;63;AGUA MIN DA PEDRA LT 350ML C GA;I;15
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;56;AGUA MIN DA PEDRA LT 350ML LIM E ALE;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;12275;AGUA MIN DA PEDRA LT 350ML PESSEGO;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;64;AGUA MIN DA PEDRA LT 350ML S GA S GAS;I;15
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;66;AGUA MIN DA PEDRA PET 350ML C GAS;A;21
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;67;AGUA MIN DA PEDRA PET 350ML S GAS;A;21
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;68;AGUA MIN FLORESTA ATIVA SQ 710ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;74;AGUA MIN SARANDI CP 200ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA MINERAL (OUTRAS);;NICOLAS;73;AGUA MIN SARANDI FITTING PET 510ML S GAS;A;20
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA SABORIZADA;;NICOLAS;59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;A;20
